	new_row	search term	biochemistry	biochemistry_2
47	ubiquitin ligase-substrate adaptor activity		adaptor	adaptor
294	protein-membrane adaptor activity		adaptor	adaptor
442	protein-macromolecule adaptor activity		adaptor	adaptor
195	molecular adaptor activity		adaptor	adaptor
193	antioxidant activity			antioxidant
531	water channel activity	channel activity	channel	channel
163	volume-sensitive chloride channel activity	channel activity	channel	channel
798	voltage-gated potassium channel activity	channel activity	channel	channel
879	voltage-gated calcium channel activity	channel activity	channel	channel
529	urea channel activity	channel activity	channel	channel
902	sodium channel activity	channel activity	channel	channel
897	potassium channel activity	channel activity	channel	channel
900	ligand-gated calcium channel activity	channel activity	channel	channel
831	large conductance calcium-activated potassium channel activity	channel activity	channel	channel
380	inward rectifier potassium channel activity	channel activity	channel	channel
162	intracellular calcium activated chloride channel activity	channel activity	channel	channel
525	glycerol channel activity	channel activity	channel	channel
375	extracellularly ATP-gated cation channel activity	channel activity	channel	channel
423	chloride channel activity	channel activity	channel	channel
470	channel activity	channel activity	channel	channel
899	cation channel activity	channel activity	channel	channel
898	calcium-release channel activity	channel activity	channel	channel
830	calcium-activated potassium channel activity	channel activity	channel	channel
677	calcium channel activity	channel activity	channel	channel
929	calcium activated cation channel activity	channel activity	channel	channel
795	ATP-activated inward rectifier potassium channel activity	channel activity	channel	channel
471	channel inhibitor activity			channel inhibitor
213	copper chaperone activity			chaperone
74	cytokine activity	cytokine activity	cytokine	cytokine
129	chemorepellent activity		cytokine	cytokine
464	chemokine activity		cytokine	cytokine
83	chemoattractant activity		cytokine	cytokine
416	cytoskeletal protein-membrane anchor activity		cytoskeletal anchor	cytoskeletal anchor
660	cytoskeletal anchor activity		cytoskeletal anchor	cytoskeletal anchor
404	electron transfer activity			electron transferrer
633	vitamin D3 25-hydroxylase activity	ase activity	enzyme	enzyme
512	vitamin D 25-hydroxylase activity	ase activity	enzyme	enzyme
495	vitamin D 24-hydroxylase activity	ase activity	enzyme	enzyme
571	very-long-chain 3-ketoacyl-CoA synthase activity	ase activity	enzyme	enzyme
394	very long-chain fatty acid-CoA ligase activity	ase activity	enzyme	enzyme
704	uridine-diphosphatase activity	ase activity	enzyme	enzyme
3	ubiquitin protein ligase activity	ase activity	enzyme	enzyme
152	triglyceride lipase activity	ase activity	enzyme	enzyme
556	transmembrane ascorbate ferrireductase activity	ase activity	enzyme	enzyme
909	transketolase activity	ase activity	enzyme	enzyme
783	"trans-1,2-dihydrobenzene-1,2-diol dehydrogenase activity"	ase activity	enzyme	enzyme
896	thymidine phosphorylase activity	ase activity	enzyme	enzyme
397	thioredoxin peroxidase activity	ase activity	enzyme	enzyme
325	thiamine phosphate phosphatase activity	ase activity	enzyme	enzyme
625	testosterone dehydrogenase (NAD+) activity		enzyme	enzyme
782	testosterone dehydrogenase  activity		enzyme	enzyme
781	testosterone 17-beta-dehydrogenase (NADP+) activity		enzyme	enzyme
843	superoxide-generating NAD(P)H oxidase activity	ase activity	enzyme	enzyme
276	superoxide dismutase activity	ase activity	enzyme	enzyme
927	SUMO ligase activity	ase activity	enzyme	enzyme
748	sterol esterase activity	ase activity	enzyme	enzyme
632	steroid hydroxylase activity	ase activity	enzyme	enzyme
780	steroid dehydrogenase activity	ase activity	enzyme	enzyme
876	stearoyl-CoA 9-desaturase activity	ase activity	enzyme	enzyme
206	sphingosine-1-phosphate phosphatase activity	ase activity	enzyme	enzyme
174	serine-type peptidase activity	ase activity	enzyme	enzyme
173	serine-type endopeptidase activity	ase activity	enzyme	enzyme
610	serine-type carboxypeptidase activity	ase activity	enzyme	enzyme
226	sarcosine dehydrogenase activity	ase activity	enzyme	enzyme
846	S-methyl-5-thioadenosine phosphorylase activity	ase activity	enzyme	enzyme
103	ribonuclease activity	ase activity	enzyme	enzyme
390	ribonuclease A activity		enzyme	enzyme
521	riboflavin reductase (NADPH) activity		enzyme	enzyme
624	retinol dehydrogenase activity	ase activity	enzyme	enzyme
646	raffinose alpha-galactosidase activity	ase activity	enzyme	enzyme
623	racemase and epimerase activity	ase activity	enzyme	enzyme
913	"quercetin 2,3-dioxygenase activity"	ase activity	enzyme	enzyme
922	pyruvate carboxylase activity	ase activity	enzyme	enzyme
895	pyrimidine-nucleoside phosphorylase activity	ase activity	enzyme	enzyme
845	purine-nucleoside phosphorylase activity	ase activity	enzyme	enzyme
158	"proton-transporting ATPase activity, rotational mechanism"	ase activity	enzyme	enzyme
868	protein-lysine 6-oxidase activity	ase activity	enzyme	enzyme
33	protein-glutamine glutaminase activity	ase activity	enzyme	enzyme
379	protein-disulfide reductase activity	ase activity	enzyme	enzyme
309	protein-arginine deiminase activity	ase activity	enzyme	enzyme
457	protein tyrosine/threonine phosphatase activity	ase activity	enzyme	enzyme
655	protein tyrosine/serine/threonine phosphatase activity	ase activity	enzyme	enzyme
176	protein tyrosine phosphatase activity	ase activity	enzyme	enzyme
363	protein threonine phosphatase activity	ase activity	enzyme	enzyme
377	protein serine/threonine phosphatase activity	ase activity	enzyme	enzyme
362	protein serine phosphatase activity	ase activity	enzyme	enzyme
336	protein kinase C activity		enzyme	enzyme
318	prostaglandin-endoperoxide synthase activity	ase activity	enzyme	enzyme
517	propionate-CoA ligase activity	ase activity	enzyme	enzyme
912	procollagen-lysine 5-dioxygenase activity	ase activity	enzyme	enzyme
673	pristanate-CoA ligase activity	ase activity	enzyme	enzyme
871	polyamine oxidase activity	ase activity	enzyme	enzyme
304	plasmalogen synthase activity	ase activity	enzyme	enzyme
672	phytanate-CoA ligase activity	ase activity	enzyme	enzyme
456	phosphoprotein phosphatase activity	ase activity	enzyme	enzyme
155	phospholipase D activity		enzyme	enzyme
293	phospholipase activity	ase activity	enzyme	enzyme
233	"phospholipase A2 activity consuming 1,2-dioleoylphosphatidylethanolamine)"		enzyme	enzyme
232	"phospholipase A2 activity (consuming 1,2-dipalmitoylphosphatidylcholine)"		enzyme	enzyme
231	phospholipase A2 activity		enzyme	enzyme
292	phospholipase A1 activity		enzyme	enzyme
883	phosphodiesterase I activity		enzyme	enzyme
230	phosphatidyl phospholipase B activity		enzyme	enzyme
240	phosphatidate phosphatase activity	ase activity	enzyme	enzyme
324	phosphatase activity	ase activity	enzyme	enzyme
779	"phenanthrene 9,10-monooxygenase activity"	ase activity	enzyme	enzyme
317	peroxidase activity	ase activity	enzyme	enzyme
