	new_row	search term	biochemistry	function
100	Antibiotic	Antibiotic	antimicrobial protein	
101	Antimicrobial	Antimicrobial	antimicrobial protein	
188	Fungicide		antimicrobial protein	
237	Antiviral defense		antimicrobial protein	
177	Antioxidant		antioxidant	
59	Cell adhesion	Cell adhesion	cell adhesion protein	
198	Integrin		cell adhesion protein	
147	Chloride channel	channel	channel	
148	Ion channel	channel	channel	
260	Ligand-gated ion channel	channel	channel	
268	Voltage-gated channel	channel	channel	
376	Potassium channel	channel	channel	
395	Calcium channel	channel	channel	
396	Sodium channel	channel	channel	
64	Chaperone	x	chaperone	
70	Chromatin regulator	Chromatin regulator	chromatin regulator	
256	Collagen		collagen	
124	Cytokine	Cytokine	cytokine	
324	Elongation factor		elongation factor	
39	Acyltransferase	ase	enzyme	
45	Hydrolase	ase	enzyme	
47	Protease	ase	enzyme	
50	Transferase	ase	enzyme	
102	Endonuclease	ase	enzyme	
103	Nuclease	ase	enzyme	
107	Kinase	ase	enzyme	
116	Glycosyltransferase	ase	enzyme	
145	Isomerase	ase	enzyme	
155	Oxidoreductase	ase	enzyme	
163	Serine protease	ase	enzyme	
164	Protein phosphatase	ase	enzyme	
169	Serine/threonine-protein kinase	ase	enzyme	
200	Glycosidase	ase	enzyme	
202	Metalloprotease	ase	enzyme	
210	Tyrosine-protein kinase	ase	enzyme	
226	Rotamase	ase	enzyme	
229	Dioxygenase	ase	enzyme	
232	Peroxidase	ase	enzyme	
239	Nucleotidyltransferase	ase	enzyme	
248	Translocase	ase	enzyme	
275	Lyase	ase	enzyme	
276	Ligase	ase	enzyme	
285	Aminotransferase	ase	enzyme	
306	Monooxygenase	ase	enzyme	
307	Thiol protease	ase	enzyme	
310	Aminopeptidase	ase	enzyme	
311	Carboxypeptidase	ase	enzyme	
359	Serine esterase	ase	enzyme	
390	Helicase	ase	enzyme	
392	Methyltransferase	ase	enzyme	
238	Multifunctional enzyme		enzyme	
252	Allosteric enzyme		enzyme	
81	Metalloenzyme inhibitor		enzyme activity modulator	
82	Metalloprotease inhibitor	ase	enzyme activity modulator	
83	Protease inhibitor	ase	enzyme activity modulator	
129	GTPase activation	ase	enzyme activity modulator	
181	Serine protease inhibitor	ase	enzyme activity modulator	
235	Protein phosphatase inhibitor	ase	enzyme activity modulator	
320	Protein kinase inhibitor	ase	enzyme activity modulator	
365	Thiol protease inhibitor	ase	enzyme activity modulator	
80	Growth factor	Growth factor	growth factor	
125	Growth regulation		growth regulator	
341	Hormone		hormone	
126	Mitogen		mitogen	
87	Proto-oncogene	Proto-oncogene	proto-oncogene	
26	Receptor	Receptor	receptor	
299	MHC II		receptor (MHC II) 	
28	Transcription regulation	Transcription regulation	transcription regulator	
243	Translation regulation		translation regulator	
222	Antiport		transporter	
78	Symport	Symport	transporter	
52	Ion transport	transport	transporter	
54	Iron transport	transport	transporter	
56	Transport	transport	transporter	
66	Protein transport	transport	transporter	
77	Sodium transport	transport	transporter	
99	Zinc transport	transport	transporter	
144	Hydrogen ion transport	transport	transporter	
194	Sugar transport	transport	transporter	
223	Calcium transport	transport	transporter	
227	Lipid transport	transport	transporter	
255	Amino-acid transport	transport	transporter	
262	Electron transport	transport	transporter	
266	Potassium transport	transport	transporter	
318	Sodium/potassium transport	transport	transporter	
335	Copper transport	transport	transporter	
128	Tumor suppressor		tumor suppressor	
96	Adaptive immunity	Adaptive immunity		(immunity-adaptive)
241	Schiff base	ase		
343	Acute phase	ase	acute-phase protein	
2	Actin-binding	binding		
14	Metal-binding	binding		
22	DNA-binding	binding	DNA-binding protein	
44	GTP-binding	binding		
46	Nucleotide-binding	binding		
57	Lipid-binding	binding		
75	ATP-binding	binding		
104	Calmodulin-binding	binding		
179	RNA-binding	binding		
204	Heparin-binding	binding		
215	Folate-binding	binding		
270	cAMP-binding	binding		
271	SH3-binding	binding		
338	Calcium/phospholipid-binding	binding		
353	Growth factor binding	binding		
367	IgG-binding protein	binding		
370	IgA-binding protein	binding		
112	Lipid biosynthesis	biosynthesis		(metabolism)
114	Phospholipid biosynthesis	biosynthesis		(metabolism)
117	Cholesterol biosynthesis	biosynthesis		(metabolism)
119	Steroid biosynthesis	biosynthesis		(metabolism)
121	Sterol biosynthesis	biosynthesis		(metabolism)
230	Fatty acid biosynthesis	biosynthesis		(metabolism)
233	Prostaglandin biosynthesis	biosynthesis		(metabolism)
284	Amino-acid biosynthesis	biosynthesis		(metabolism)
286	Branched-chain amino acid biosynthesis	biosynthesis		(metabolism)
293	GMP biosynthesis	biosynthesis		(metabolism)
295	Purine biosynthesis	biosynthesis		(metabolism)
300	Glutathione biosynthesis	biosynthesis		(metabolism)
325	Protein biosynthesis	biosynthesis		(metabolism)
356	Isoprene biosynthesis	biosynthesis		(metabolism)
358	Ubiquinone biosynthesis	biosynthesis		(metabolism)
371	Leukotriene biosynthesis	biosynthesis		(metabolism)
408	Pyridine nucleotide biosynthesis	biosynthesis		(metabolism)
217	Basement membrane	cc		
15	Microtubule	cc		
16	Nucleus	cc		
25	Mitochondrion	cc		
30	Cell membrane	cc		
34	Membrane	cc		
37	Transmembrane	cc		
38	Transmembrane helix	cc		
43	Extracellular matrix	cc		
63	Complement alternate pathway	Complement alternate pathway		
136	Lipid degradation	degradation		(metabolism)
137	Phospholipid degradation	degradation		(metabolism)
201	Collagen degradation	degradation		(metabolism)
369	Cilium biogenesis/degradation	degradation		(metabolism)
86	Differentiation	Differentiation		(differentiation)
10	Disease variant	disease		
91	Charcot-Marie-Tooth disease	disease		
185	Primary mitochondrial disease	disease		
373	Glycogen storage disease	disease		
377	Hirschsprung disease	disease		
378	Chronic granulomatous disease	disease		
60	Host cell receptor for virus entry	Host cell receptor for virus entry	receptor	
23	Host-virus interaction	Host-virus interaction		
11	Immunity	Immunity		(immunity)
12	Inflammatory response	Inflammatory response		(inflammatory response)
13	Innate immunity	Innate immunity		(immunity-innate)
113	Lipid metabolism	metabolism		(metabolism)
115	Phospholipid metabolism	metabolism		(metabolism)
118	Cholesterol metabolism	metabolism		(metabolism)
120	Steroid metabolism	metabolism		(metabolism)
122	Sterol metabolism	metabolism		(metabolism)
231	Fatty acid metabolism	metabolism		(metabolism)
234	Prostaglandin metabolism	metabolism		(metabolism)
322	Nucleotide metabolism	metabolism		(metabolism)
344	Carbohydrate metabolism	metabolism		(metabolism)
383	Glucose metabolism	metabolism		(metabolism)
36	Signal	x		
27	Transcription	Transcription		
90	Transducer	Transducer		
1	3D-structure	x		
3	Alternative splicing	x		
4	Amyloidosis	x		
5	Cell projection	x		
6	Coiled coil	x		
7	Cytoplasm	x		
8	Cytoplasmic vesicle	x		
9	Cytoskeleton	x		
17	Phosphoprotein	x		
18	Reference proteome	x		
19	Zinc	x		
20	Zinc-finger	x		
21	Acetylation	x		
24	Isopeptide bond	x		
29	Ubl conjugation	x		
31	Disulfide bond	x		
32	Glycoprotein	x		
33	Immunoglobulin domain	x		
35	Repeat	x		
40	Calcium	x		
41	Chromosome	x		
42	Direct protein sequencing	x		
48	S-nitrosylation	x		
49	Secreted	x		
51	GPI-anchor	x		
53	Iron	x		
55	Lipoprotein	x		
58	SH3 domain	x		
61	Repressor	x		
62	Ubl conjugation pathway	x		(Ubl conjugation pathway)
65	Endoplasmic reticulum	x		
67	Methylation	x		
68	Palmitate	x		
69	Prenylation	x		
71	Neurogenesis	x		
72	EGF-like domain	x		
73	Laminin EGF-like domain	x		
74	Mitochondrion inner membrane	x		
76	Sodium	x		
79	TPR repeat	x		
84	Chromosomal rearrangement	x		
85	Developmental protein	x		
88	Endosome	x		
89	G-protein coupled receptor	x		
92	Deafness	x		
93	Dejerine-Sottas syndrome	x		
94	Neurodegeneration	x		
95	Neuropathy	x		
97	Congenital disorder of glycosylation	x		
98	Lysosome	x		
105	Cell junction	x		
106	Coated pit	x		
108	Synapse	x		
109	Golgi apparatus	x		
110	Signal-anchor	x		
111	Leucine-rich repeat	x		
123	Cleavage on pair of basic residues	x		
131	Cone-rod dystrophy	x		
132	Retinitis pigmentosa	x		
134	HDL	x		
135	LDL	x		
138	LIM domain	x		
139	Synaptosome	x		
140	Cell shape	x		
141	Sialic acid	x		
142	Lectin	x		
143	Ichthyosis	x		
