Regulation	Solution
down-down-down-down	down
down-down-down-neutral	down
down-down-down-up	mixed
down-down-neutral-down	down
down-down-neutral-neutral	down
down-down-neutral-up	mixed
down-down-up-down	mixed
down-down-up-neutral	mixed
down-down-up-up	mixed
down-neutral-down-down	down
down-neutral-down-neutral	down
down-neutral-down-up	mixed
down-neutral-neutral-down	down
down-neutral-neutral-neutral	down
down-neutral-neutral-up	mixed
down-neutral-up-down	mixed
down-neutral-up-neutral	mixed
down-neutral-up-up	mixed
down-up-down-down	mixed
down-up-down-neutral	mixed
down-up-down-up	mixed
down-up-neutral-down	mixed
down-up-neutral-neutral	mixed
down-up-neutral-up	mixed
down-up-up-down	mixed
down-up-up-neutral	mixed
down-up-up-up	mixed
neutral-down-down-down	down
neutral-down-down-neutral	down
neutral-down-down-up	mixed
neutral-down-neutral-down	down
neutral-down-neutral-neutral	down
neutral-down-neutral-up	mixed
neutral-down-up-down	mixed
neutral-down-up-neutral	mixed
neutral-down-up-up	mixed
neutral-neutral-down-down	down
neutral-neutral-down-neutral	down
neutral-neutral-down-up	mixed
neutral-neutral-neutral-down	down
neutral-neutral-neutral-neutral	constant
neutral-neutral-neutral-up	up
neutral-neutral-up-down	mixed
neutral-neutral-up-neutral	up
neutral-neutral-up-up	up
neutral-up-down-down	mixed
neutral-up-down-neutral	mixed
neutral-up-down-up	mixed
neutral-up-neutral-down	mixed
neutral-up-neutral-neutral	up
neutral-up-neutral-up	up
neutral-up-up-down	mixed
neutral-up-up-neutral	up
neutral-up-up-up	up
up-down-down-down	mixed
up-down-down-neutral	mixed
up-down-down-up	mixed
up-down-neutral-down	mixed
up-down-neutral-neutral	mixed
up-down-neutral-up	mixed
up-down-up-down	mixed
up-down-up-neutral	mixed
up-down-up-up	mixed
up-neutral-down-down	mixed
up-neutral-down-neutral	mixed
up-neutral-down-up	mixed
up-neutral-neutral-down	mixed
up-neutral-neutral-neutral	up
up-neutral-neutral-up	up
up-neutral-up-down	mixed
up-neutral-up-neutral	up
up-neutral-up-up	up
up-up-down-down	mixed
up-up-down-neutral	mixed
up-up-down-up	mixed
up-up-neutral-down	mixed
up-up-neutral-neutral	up
up-up-neutral-up	up
up-up-up-down	mixed
up-up-up-neutral	up
up-up-up-up	up
